message_size,throughput,strategy,local_network_size,foreign_network_size
100,21811.98494251704,Kafka,7,7
100,19814.101914699626,Kafka,7,7
100,28363.724095895977,Kafka,7,7
100,20558.61893881696,Kafka,7,7
100,17681.617535136233,Kafka,7,7
100,25789.50040617384,Kafka,7,7
100,11897.7094604844,Kafka,7,7
100,22027.97591946173,Kafka,7,7
100,18574.406573341446,Kafka,7,7
100,18101.625190452003,Kafka,7,7
100,20039.314158169735,Kafka,7,7
100,18509.34508433369,Kafka,7,7
100,19443.320969462933,Kafka,7,7
100,19759.361821045677,Kafka,7,7
