message_size,throughput,strategy,local_network_size,foreign_network_size
1000,16113.2619023552,Kafka,7,7
1000,21273.69219105383,Kafka,7,7
1000,18233.816766890697,Kafka,7,7
1000,20319.80568768343,Kafka,7,7
1000,18791.0228481686,Kafka,7,7
1000,16600.50851767099,Kafka,7,7
1000,13565.850697956708,Kafka,7,7
1000,16128.634894991923,Kafka,7,7
1000,22173.342786246012,Kafka,7,7
1000,19945.32279314888,Kafka,7,7
1000,17047.02194357367,Kafka,7,7
1000,15029.075068382128,Kafka,7,7
1000,15725.936031529483,Kafka,7,7
1000,15827.408082649652,Kafka,7,7
